tweet_id,name,dog_stage,breed,rating
857263160327368704,Oscar,,samoyed,1.3
857029823797047296,Zeke,,golden_retriever,1.2
856543823941562368,Callie,,boston_bull,1.2
856526610513747968,,,old_english_sheepdog,1.4
856282028240666624,Cermet,,chihuahua,1.4
855851453814013952,,puppo,flat-coated_retriever,1.3
855459453768019968,,,blenheim_spaniel,1.2
854732716440526848,Marlee,,pembroke,1.2
854482394044301312,Arya,,chihuahua,1.3
854365224396361728,Einstein,,pembroke,1.3
854120357044912130,,pupper,black-and-tan_coonhound,1.4
854010172552949760,,floofer,english_springer,1.1
853760880890318849,Alice,,miniature_pinscher,1.2
853639147608842240,,,german_shepherd,1.3
853299958564483072,Rumpole,,,1.3
852912242202992640,Benny,,great_dane,1.2
852672615818899456,Aspen,,golden_retriever,1.2
852553447878664193,Jarod,,bloodhound,1.3
852311364735569921,Wiggles,,,1.3
852226086759018497,General,,,1.4
852189679701164033,Sailor,,bernese_mountain_dog,1.2
851591660324737024,,,cardigan,1.1
851464819735769094,Iggy,,,1.4
851224888060895234,Snoop,,standard_poodle,1.3
850753642995093505,Kyle,,pug,1.1
850380195714523136,Leo,,yorkshire_terrier,1.3
850145622816686080,Riley,,kelpie,1.1
850019790995546112,Boomer,pupper,shetland_sheepdog,1.2
849776966551130114,,,chihuahua,1.2
849412302885593088,Noosh,,schipperke,1.2
849336543269576704,,,,1.1
849051919805034497,Kevin,,,1.3
848690551926992896,,,flat-coated_retriever,1.2
848324959059550208,Odin,,malamute,1.2
848212111729840128,Jerry,,bedlington_terrier,0.6
847962785489326080,Georgie,,,1.0
847842811428974592,Rontu,,bernese_mountain_dog,1.2
847606175596138505,Cannon,,cardigan,1.2
847251039262605312,Furzey,,airedale,1.2
847157206088847362,Daisy,,staffordshire_bullterrier,1.1
847116187444137987,,,american_staffordshire_terrier,1.1
846874817362120707,Tuck,,shetland_sheepdog,1.3
846514051647705089,Barney,doggo,golden_retriever,1.3
846153765933735936,Vixen,,giant_schnauzer,1.3
846042936437604353,Jarvis,,golden_retriever,1.2
845812042753855489,,,samoyed,1.3
845677943972139009,,,chow,1.2
845397057150107648,Mimosa,doggo,dandie_dinmont,1.3
845306882940190720,Pickles,pupper,irish_water_spaniel,1.2
844979544864018432,,,shetland_sheepdog,1.3
844973813909606400,Brady,,labrador_retriever,1.2
844580511645339650,Charlie,,,1.1
844223788422217728,Margo,,labrador_retriever,1.2
843856843873095681,Sadie,,labrador_retriever,1.2
843604394117681152,Hank,,labrador_retriever,1.1
843235543001513987,Tycho,,pembroke,1.3
842846295480000512,Charlie,,labrador_retriever,1.3
842765311967449089,Indie,,labrador_retriever,1.2
842535590457499648,Winnie,,pembroke,1.3
842163532590374912,George,,french_bulldog,1.2
842115215311396866,Bentley,,chow,1.2
841680585030541313,Penny,,chihuahua,1.2
841439858740625411,,,labrador_retriever,1.4
841314665196081154,Max,,afghan_hound,1.3
841077006473256960,Dawn,,brittany_spaniel,1.2
840696689258311684,,,,1.0
840632337062862849,Maddie,,golden_retriever,1.2
840370681858686976,,,,1.3
840268004936019968,Monty,,chesapeake_bay_retriever,1.2
839990271299457024,Sojourner,,staffordshire_bullterrier,1.3
839549326359670784,Winston,,norwich_terrier,1.2
839239871831150596,Odie,,leonberg,1.3
838921590096166913,Arlo,,border_terrier,1.3
838561493054533637,Walter,,kelpie,1.3
838476387338051585,Stanley,,great_pyrenees,1.3
838083903487373313,Daisy,,chow,1.3
